# dns_tg256 — viscous DNS  IC=tg  N=256  Re=1600.0  dt=0.005  T=10.0  threads=18  fft=fftw
# Scope: resolved 3D pseudospectral DNS truncation; NOT the PDE; :proved=0.
# t      E/E0       Z/Z0       winf     delta   S_omega  D30     D50     D70     c2int   c2max  
# FFT=fftw  FFTW.threads=18  plans=MEASURE
# IC=tg  E0=0.12500  H0=1.54942e-18  Z0=0.37500  div_max=1.9e-24
  0.00   1.000000   1.0000     2.00     5.837   -0.0000  2.204   2.429   2.629   0.478   0.261  
  0.50   0.998110   1.0245     1.88     1.370   0.0599   2.211   2.425   2.607   0.367   0.329  
  1.00   0.996122   1.1068     1.58     0.636   0.1170   2.218   2.445   2.622   0.328   0.423  
  1.50   0.993915   1.2612     1.40     0.335   0.1643   2.310   2.481   2.620   0.303   0.496  
  2.00   0.991334   1.5095     1.86     0.226   0.1948   2.275   2.539   2.599   0.296   0.535  
# checkpoint t=2.000 → ckpt_tg_N256.jls
  2.50   0.988179   1.8792     2.54     0.180   0.2068   2.227   2.426   2.574   0.364   0.490  
  3.00   0.984191   2.4032     3.61     0.161   0.2068   2.150   2.340   2.496   0.493   0.380  
  3.50   0.979031   3.1509     6.07     0.140   0.2157   1.865   2.167   2.355   0.641   0.248  
  4.00   0.972066   4.4079     13.78    0.108   0.2760   1.602   1.825   2.047   0.720   0.169  
# checkpoint t=4.000 → ckpt_tg_N256.jls
  4.50   0.961926   6.5318     24.27    0.096   0.2896   1.579   1.827   2.025   0.646   0.249  
  5.00   0.947478   8.8108     20.45    0.093   0.2150   1.696   1.919   2.157   0.568   0.292  
  5.50   0.929353   10.3979    26.11    0.091   0.1674   1.590   1.969   2.212   0.668   0.214  
  6.00   0.908622   11.8025    28.12    0.093   0.1611   1.717   1.993   2.259   0.690   0.200  
# checkpoint t=6.000 → ckpt_tg_N256.jls
  6.50   0.884461   14.1518    46.89    0.088   0.2001   1.327   1.867   2.198   0.724   0.165  
  7.00   0.856164   15.7032    37.27    0.086   0.1821   1.649   2.012   2.301   0.673   0.205  
  7.50   0.824328   18.6119    45.17    0.085   0.2064   1.562   1.933   2.236   0.649   0.229  
  8.00   0.786250   22.2175    52.32    0.084   0.2079   1.559   1.913   2.242   0.610   0.261  
# checkpoint t=8.000 → ckpt_tg_N256.jls
  8.50   0.741224   25.7106    52.12    0.082   0.2085   1.649   1.981   2.249   0.644   0.227  
  9.00   0.690460   27.3901    66.92    0.077   0.2134   1.650   1.963   2.191   0.608   0.251  
  9.50   0.641825   24.7537    41.11    0.079   0.1915   1.720   2.039   2.280   0.567   0.267  
  10.00  0.595905   24.4579    73.14    0.079   0.1977   1.693   2.017   2.317   0.531   0.298  
# checkpoint t=10.000 → ckpt_tg_N256.jls
# DONE. Validation: enstrophy peak vs Brachet-1983 TG Re=1600. Robustness: D30/50/70.
# Alignment c2int/c2max = enstrophy-wtd cos²(ω,e_int/e_max); HIT signature c2int largest.
