# dns_tg256 — viscous DNS  IC=helical  N=256  Re=1600.0  dt=0.005  T=10.0  threads=6
# Scope: resolved 3D pseudospectral DNS truncation; NOT the PDE; :proved=0.
# t      E/E0        H           Z/Z0        winf      delta    S_omega    Dbox   
# IC=helical  E0=0.12500  H0=-8.82847e-03  Z0=1.37474  div_max=2.3e-10
  0.00   1.000000    -8.828e-03  1.0000      4.47      NaN      0.0004     2.377  
  0.50   0.992897    -8.737e-03  1.1029      5.40      0.332    0.1159     2.338  
  1.00   0.984330    -8.558e-03  1.4295      7.59      0.169    0.1690     2.296  
  1.50   0.972647    -8.135e-03  2.0166      12.50     0.121    0.1790     2.228  
  2.00   0.955990    -7.173e-03  2.8679      19.29     0.106    0.1703     2.172  
  2.50   0.932881    -5.837e-03  3.8641      24.94     0.098    0.1569     2.153  
  3.00   0.902868    -4.024e-03  4.8709      40.72     0.094    0.1496     2.123  
  3.50   0.865860    -1.646e-03  5.8980      58.15     0.091    0.1495     2.088  
  4.00   0.821922    -2.087e-04  6.8617      65.15     0.088    0.1486     2.073  
  4.50   0.771928    1.332e-03   7.6590      62.75     0.086    0.1480     2.068  
  5.00   0.717045    2.722e-03   8.2719      59.29     0.084    0.1488     2.090  
  5.50   0.658757    4.144e-03   8.6395      75.44     0.083    0.1485     2.125  
  6.00   0.599053    4.667e-03   8.6795      52.51     0.082    0.1472     2.178  
  6.50   0.540032    4.967e-03   8.4544      44.63     0.081    0.1469     2.222  
  7.00   0.483366    3.792e-03   7.9947      51.26     0.081    0.1463     2.268  
  7.50   0.430544    2.989e-03   7.3554      38.14     0.081    0.1460     2.304  
  8.00   0.382426    1.764e-03   6.6406      35.65     0.081    0.1460     2.329  
  8.50   0.339282    8.260e-06   5.9115      38.59     0.082    0.1467     2.349  
  9.00   0.301142    -1.266e-03  5.1906      32.78     0.082    0.1470     2.364  
  9.50   0.267798    -2.116e-03  4.5216      39.28     0.083    0.1474     2.375  
  10.00  0.238844    -2.901e-03  3.9138      29.23     0.084    0.1474     2.381  
# DONE. Enstrophy peak ≈ Brachet-1983 TG Re=1600 (validation); S_ω/Dbox on the resolved field.
