# dns_tg256 — viscous DNS  IC=tubes  N=256  Re=1600.0  dt=0.005  T=10.0  threads=6
# Scope: resolved 3D pseudospectral DNS truncation; NOT the PDE; :proved=0.
# t      E/E0       Z/Z0       winf     delta   S_omega  D30     D50     D70     c2int   c2max  
# IC=tubes  E0=0.12500  H0=1.33940e-21  Z0=0.95413  div_max=2.3e-10
  0.00   1.000000   1.0000     16.50    1.000   -0.0000  2.134   2.277   2.476   0.768   0.116  
  0.50   0.995221   1.0183     16.19    0.191   0.0686   2.119   2.116   2.246   0.615   0.201  
  1.00   0.990072   1.1547     16.47    0.146   0.1229   2.046   2.178   2.323   0.498   0.283  
  1.50   0.984184   1.3096     18.75    0.135   0.1187   1.893   2.121   2.291   0.425   0.315  
  2.00   0.977656   1.4145     20.62    0.125   0.1073   1.905   2.162   2.319   0.464   0.291  
  2.50   0.970807   1.4469     19.44    0.116   0.0992   1.902   2.126   2.343   0.494   0.277  
  3.00   0.963918   1.4372     18.79    0.110   0.0917   1.900   2.046   2.245   0.521   0.259  
  3.50   0.957093   1.4261     22.85    0.106   0.0884   1.882   2.063   2.252   0.600   0.216  
  4.00   0.950287   1.4308     27.70    0.105   0.0876   1.823   2.066   2.204   0.655   0.188  
  4.50   0.943406   1.4576     27.78    0.106   0.0901   1.740   1.968   2.094   0.658   0.185  
  5.00   0.936342   1.5105     25.67    0.109   0.0981   1.718   1.884   2.060   0.665   0.179  
  5.50   0.928818   1.6858     84.41    0.105   0.2293   0.986   1.657   1.856   0.658   0.188  
  6.00   0.920380   1.8088     96.70    0.088   0.2412   1.590   1.748   1.782   0.637   0.191  
  6.50   0.911952   1.7101     77.30    0.088   0.1717   1.446   1.815   1.871   0.617   0.192  
  7.00   0.903997   1.6360     51.39    0.093   0.1327   1.782   1.772   1.951   0.612   0.197  
  7.50   0.896255   1.6078     47.83    0.095   0.1223   1.775   1.744   1.904   0.591   0.216  
  8.00   0.888719   1.5501     37.28    0.098   0.1008   1.665   1.756   1.974   0.550   0.244  
  8.50   0.881481   1.4867     31.29    0.100   0.0950   1.685   1.857   2.013   0.572   0.234  
  9.00   0.874500   1.4420     26.63    0.102   0.0934   1.664   1.820   2.028   0.533   0.254  
  9.50   0.867693   1.4146     23.74    0.103   0.0991   1.651   1.837   2.007   0.533   0.252  
  10.00  0.860975   1.4082     26.58    0.104   0.1177   1.666   1.796   2.001   0.605   0.209  
# DONE. Validation: enstrophy peak vs Brachet-1983 TG Re=1600. Robustness: D30/50/70.
# Alignment c2int/c2max = enstrophy-wtd cos²(ω,e_int/e_max); HIT signature c2int largest.
