# NS-046/Idea-3 grad-xi + pressure-Hessian probe — helical/control/tubes
# tubes IC: E=0.1250 Z=0.9541 H=+1.2055e-20 rhoH=+0.0000 divmax=3.6e-12 (anti-parallel, max-stretch, ~zero helicity)

# HELICAL  N=64  nu=6.25000e-04  T=6.0
# t      E         Z          rhoH    P           Sw       c2int  belt    CFM         gx2w    pHess       selfstr     ratio
0.000  1.2500e-01  1.1510e+00  +0.9680  -1.3116e-03  -0.00038  0.3327  0.9200  1.5558e+01  9.1844  +8.0617e-02  5.3026e-01  +0.1520
0.500  1.2428e-01  1.1483e+00  +0.9657  +2.2719e-02  +0.00653  0.3364  0.9154  1.5736e+01  9.2880  +7.1996e-02  5.2456e-01  +0.1372
1.000  1.2356e-01  1.1585e+00  +0.9580  +5.2253e-02  +0.01481  0.3481  0.9023  1.6584e+01  9.7164  +6.8602e-02  5.3118e-01  +0.1292
1.500  1.2283e-01  1.1854e+00  +0.9435  +9.4039e-02  +0.02576  0.3664  0.8812  1.8876e+01  10.8355  +7.0257e-02  5.5562e-01  +0.1264
2.000  1.2208e-01  1.2354e+00  +0.9204  +1.5611e-01  +0.04019  0.3914  0.8532  2.4600e+01  13.7462  +8.4621e-02  6.0616e-01  +0.1396
2.500  1.2128e-01  1.3169e+00  +0.8873  +2.4389e-01  +0.05706  0.4234  0.8178  3.7137e+01  20.3283  +1.3438e-01  6.8977e-01  +0.1948
3.000  1.2042e-01  1.4368e+00  +0.8448  +3.5749e-01  +0.07339  0.4582  0.7753  5.9559e+01  31.9033  +2.4602e-01  8.0969e-01  +0.3038
3.500  1.1947e-01  1.6007e+00  +0.7950  +4.9999e-01  +0.08729  0.4904  0.7278  9.2389e+01  47.6673  +4.2199e-01  9.5921e-01  +0.4399
4.000  1.1841e-01  1.8174e+00  +0.7398  +6.8557e-01  +0.09893  0.5213  0.6787  1.3652e+02  67.4224  +7.1711e-01  1.1602e+00  +0.6181
4.500  1.1719e-01  2.0976e+00  +0.6813  +9.1773e-01  +0.10680  0.5441  0.6291  1.9713e+02  92.1287  +1.0671e+00  1.4081e+00  +0.7578
5.000  1.1577e-01  2.4455e+00  +0.6226  +1.1905e+00  +0.11006  0.5581  0.5822  2.7725e+02  120.9561  +1.4812e+00  1.6882e+00  +0.8774
5.500  1.1412e-01  2.8609e+00  +0.5659  +1.5013e+00  +0.10969  0.5607  0.5390  3.7329e+02  150.7331  +1.9632e+00  2.0129e+00  +0.9753
6.000  1.1218e-01  3.3494e+00  +0.5121  +1.8802e+00  +0.10844  0.5501  0.5028  4.8510e+02  182.1856  +2.1633e+00  2.3624e+00  +0.9157

# CONTROL  N=64  nu=6.25000e-04  T=6.0
# t      E         Z          rhoH    P           Sw       c2int  belt    CFM         gx2w    pHess       selfstr     ratio
0.000  1.2500e-01  1.1510e+00  -0.0687  -1.9610e-02  -0.00561  0.3274  0.3236  1.5965e+01  7.7382  +1.9623e-01  5.5717e-01  +0.3522
0.500  1.2426e-01  1.2451e+00  -0.0660  +4.3115e-01  +0.10972  0.3655  0.3253  2.1422e+01  9.6593  +1.2280e-01  4.8610e-01  +0.2526
1.000  1.2340e-01  1.5618e+00  -0.0590  +9.1614e-01  +0.16595  0.4881  0.3324  4.5821e+01  19.8252  +1.4245e-01  6.1468e-01  +0.2317
1.500  1.2226e-01  2.1159e+00  -0.0508  +1.5078e+00  +0.17321  0.6017  0.3423  1.1514e+02  50.2224  +3.2367e-01  1.0664e+00  +0.3035
2.000  1.2070e-01  2.9024e+00  -0.0435  +2.1810e+00  +0.15595  0.6553  0.3483  2.5822e+02  102.5108  +7.3478e-01  1.7928e+00  +0.4099
2.500  1.1860e-01  3.8630e+00  -0.0377  +2.8712e+00  +0.13370  0.6482  0.3508  4.6789e+02  162.3632  +1.3322e+00  2.5405e+00  +0.5244
3.000  1.1586e-01  4.9215e+00  -0.0333  +3.5514e+00  +0.11500  0.6103  0.3514  6.9630e+02  214.8995  +1.9897e+00  3.1523e+00  +0.6312
3.500  1.1243e-01  6.0625e+00  -0.0295  +4.3599e+00  +0.10326  0.5628  0.3499  9.2381e+02  260.2393  +2.4367e+00  3.7811e+00  +0.6444
4.000  1.0826e-01  7.2771e+00  -0.0257  +5.1940e+00  +0.09354  0.5099  0.3484  1.1642e+03  302.9829  +2.7402e+00  4.3814e+00  +0.6254
4.500  1.0333e-01  8.5048e+00  -0.0226  +6.0139e+00  +0.08573  0.4690  0.3485  1.3936e+03  339.9992  +2.8170e+00  4.9298e+00  +0.5714
5.000  9.7638e-02  9.6835e+00  -0.0202  +6.6299e+00  +0.07779  0.4406  0.3466  1.6215e+03  375.4943  +2.8551e+00  5.3896e+00  +0.5297
5.500  9.1262e-02  1.0682e+01  -0.0183  +7.0031e+00  +0.07092  0.4231  0.3448  1.8194e+03  404.9653  +2.8326e+00  5.7466e+00  +0.4929
6.000  8.4353e-02  1.1359e+01  -0.0169  +6.8413e+00  +0.06318  0.4094  0.3412  1.9734e+03  428.6312  +2.8269e+00  5.9692e+00  +0.4736

# TUBES  N=64  nu=6.25000e-04  T=6.0
# t      E         Z          rhoH    P           Sw       c2int  belt    CFM         gx2w    pHess       selfstr     ratio
0.000  1.2500e-01  9.5413e-01  +0.0000  -3.4916e-18  -0.00000  0.7683  0.0667  1.2806e+00  1.3287  +2.5453e+01  2.3260e+00  +10.9428
0.500  1.2440e-01  9.7146e-01  +0.0000  +1.8419e-01  +0.06801  0.6188  0.1396  6.2182e+00  10.5181  +2.1316e+01  3.0708e+00  +6.9415
1.000  1.2376e-01  1.0964e+00  +0.0000  +3.5965e-01  +0.11076  0.4820  0.2549  3.7905e+01  48.9330  +1.8090e+01  3.9277e+00  +4.6057
1.500  1.2303e-01  1.2177e+00  +0.0000  +3.1333e-01  +0.08244  0.4318  0.3038  8.4350e+01  84.7689  +1.3943e+01  4.5300e+00  +3.0780
2.000  1.2225e-01  1.2765e+00  +0.0000  +2.3806e-01  +0.05836  0.5136  0.3420  1.2371e+02  101.0701  +1.6558e+01  4.2172e+00  +3.9263
2.500  1.2145e-01  1.2894e+00  +0.0000  +1.9267e-01  +0.04652  0.6015  0.3541  1.3490e+02  91.4579  +1.7789e+01  3.3276e+00  +5.3458
3.000  1.2064e-01  1.3136e+00  +0.0000  +2.3818e-01  +0.05593  0.5692  0.3682  1.4938e+02  96.5341  +1.5032e+01  3.5057e+00  +4.2879
3.500  1.1980e-01  1.3633e+00  +0.0000  +3.0713e-01  +0.06822  0.5450  0.3672  1.6792e+02  105.0182  +1.4251e+01  3.2329e+00  +4.4082
4.000  1.1893e-01  1.4311e+00  +0.0000  +3.7821e-01  +0.07811  0.5902  0.3669  1.9189e+02  117.7987  +1.5220e+01  3.5266e+00  +4.3157
4.500  1.1801e-01  1.5161e+00  -0.0000  +4.4056e-01  +0.08344  0.5722  0.3677  2.2069e+02  129.4613  +1.5064e+01  4.2517e+00  +3.5430
5.000  1.1703e-01  1.6403e+00  -0.0000  +6.4154e-01  +0.10797  0.5750  0.3569  2.4827e+02  145.5488  +1.6133e+01  7.4925e+00  +2.1532
5.500  1.1595e-01  1.8304e+00  -0.0000  +9.5949e-01  +0.13699  0.5709  0.3538  2.8614e+02  172.3332  +1.7059e+01  8.4837e+00  +2.0107
6.000  1.1469e-01  2.1830e+00  -0.0000  +1.3064e+00  +0.14321  0.5186  0.3408  3.5318e+02  236.1009  +1.3912e+01  9.1811e+00  +1.5153
# DONE
