# NS-046/Idea-3 grad-xi + pressure-Hessian probe — helical/control/tubes
# tubes IC: E=0.1250 Z=0.9541 H=-8.5029e-21 rhoH=-0.0000 divmax=2.9e-11 (anti-parallel, max-stretch, ~zero helicity)

# HELICAL  N=128  nu=6.25000e-04  T=4.0
# t      E         Z          rhoH    P           Sw       c2int  belt    CFM         gx2w    pHess       selfstr     ratio
0.000  1.2500e-01  1.1510e+00  +0.9680  -1.3116e-03  -0.00038  0.3327  0.9200  1.5442e+01  9.1160  +8.0617e-02  5.3026e-01  +0.1520
0.500  1.2428e-01  1.1483e+00  +0.9657  +2.2719e-02  +0.00653  0.3364  0.9154  1.5619e+01  9.2183  +7.1996e-02  5.2456e-01  +0.1372
1.000  1.2356e-01  1.1585e+00  +0.9580  +5.2253e-02  +0.01481  0.3481  0.9023  1.6445e+01  9.6286  +6.8602e-02  5.3118e-01  +0.1292
1.500  1.2283e-01  1.1854e+00  +0.9435  +9.4095e-02  +0.02578  0.3664  0.8813  1.8667e+01  10.6476  +7.0200e-02  5.5569e-01  +0.1263
2.000  1.2208e-01  1.2356e+00  +0.9203  +1.5735e-01  +0.04051  0.3917  0.8535  2.4563e+01  13.3625  +8.4013e-02  6.0871e-01  +0.1380
2.500  1.2128e-01  1.3181e+00  +0.8869  +2.5197e-01  +0.05887  0.4262  0.8200  3.8712e+01  20.6851  +1.3513e-01  7.1005e-01  +0.1903
3.000  1.2042e-01  1.4411e+00  +0.8435  +3.8303e-01  +0.07828  0.4677  0.7813  6.6219e+01  35.7183  +2.6290e-01  8.8420e-01  +0.2973
3.500  1.1947e-01  1.6089e+00  +0.7928  +5.4907e-01  +0.09512  0.5107  0.7383  1.0940e+02  57.8045  +5.0685e-01  1.1146e+00  +0.4547
4.000  1.1840e-01  1.8271e+00  +0.7375  +7.5784e-01  +0.10849  0.5509  0.6939  1.6521e+02  83.1760  +9.0854e-01  1.3623e+00  +0.6669

# CONTROL  N=128  nu=6.25000e-04  T=4.0
# t      E         Z          rhoH    P           Sw       c2int  belt    CFM         gx2w    pHess       selfstr     ratio
0.000  1.2500e-01  1.1510e+00  -0.0687  -1.9610e-02  -0.00561  0.3274  0.3236  1.5607e+01  7.4833  +1.9623e-01  5.5717e-01  +0.3522
0.500  1.2426e-01  1.2451e+00  -0.0660  +4.3115e-01  +0.10972  0.3655  0.3253  2.0658e+01  8.9743  +1.2280e-01  4.8610e-01  +0.2526
1.000  1.2340e-01  1.5619e+00  -0.0590  +9.1756e-01  +0.16619  0.4883  0.3323  4.4288e+01  17.0831  +1.4120e-01  6.1445e-01  +0.2298
1.500  1.2226e-01  2.1208e+00  -0.0508  +1.5505e+00  +0.17749  0.6086  0.3418  1.2373e+02  49.7951  +2.9621e-01  1.0960e+00  +0.2703
2.000  1.2069e-01  2.9349e+00  -0.0433  +2.4101e+00  +0.16947  0.6920  0.3478  3.1922e+02  126.1560  +6.7196e-01  2.0615e+00  +0.3260
2.500  1.1855e-01  3.9488e+00  -0.0374  +3.4612e+00  +0.15595  0.7245  0.3511  6.6211e+02  231.8779  +1.3400e+00  3.4022e+00  +0.3939
3.000  1.1574e-01  5.0438e+00  -0.0330  +4.5613e+00  +0.14237  0.7224  0.3522  1.0928e+03  332.1045  +2.5316e+00  4.6030e+00  +0.5500
3.500  1.1224e-01  6.1786e+00  -0.0295  +5.8397e+00  +0.13444  0.7017  0.3513  1.5301e+03  418.5098  +4.2873e+00  5.5497e+00  +0.7725
4.000  1.0801e-01  7.3605e+00  -0.0260  +7.3913e+00  +0.13086  0.6637  0.3512  2.0057e+03  506.2116  +5.7446e+00  6.4672e+00  +0.8883

# TUBES  N=128  nu=6.25000e-04  T=4.0
# t      E         Z          rhoH    P           Sw       c2int  belt    CFM         gx2w    pHess       selfstr     ratio
0.000  1.2500e-01  9.5413e-01  -0.0000  -5.6611e-18  -0.00000  0.7683  0.0670  1.2266e+00  1.0559  +2.5453e+01  2.3260e+00  +10.9428
0.500  1.2440e-01  9.7156e-01  +0.0000  +1.8574e-01  +0.06857  0.6156  0.1184  3.8726e+00  7.3470  +2.1379e+01  3.0648e+00  +6.9757
1.000  1.2376e-01  1.1017e+00  +0.0000  +4.0105e-01  +0.12262  0.4964  0.2032  2.6612e+01  45.2181  +1.8921e+01  3.8125e+00  +4.9628
1.500  1.2302e-01  1.2491e+00  +0.0000  +4.6460e-01  +0.11766  0.4263  0.2789  8.1303e+01  115.1238  +1.4897e+01  4.8892e+00  +3.0470
2.000  1.2221e-01  1.3484e+00  +0.0000  +4.6178e-01  +0.10427  0.4485  0.3273  1.5305e+02  190.0948  +1.4624e+01  5.2974e+00  +2.7605
2.500  1.2135e-01  1.3773e+00  +0.0000  +4.1414e-01  +0.09059  0.4784  0.3648  2.1245e+02  227.3692  +1.4836e+01  5.0782e+00  +2.9215
3.000  1.2049e-01  1.3691e+00  +0.0000  +3.6026e-01  +0.07951  0.5276  0.3916  2.5193e+02  228.3905  +1.4239e+01  4.4869e+00  +3.1735
3.500  1.1964e-01  1.3613e+00  +0.0000  +3.4381e-01  +0.07653  0.6027  0.4082  2.6796e+02  204.0416  +1.6369e+01  3.6746e+00  +4.4546
4.000  1.1879e-01  1.3717e+00  +0.0000  +3.5893e-01  +0.07899  0.6544  0.4189  2.6693e+02  186.3748  +1.8449e+01  3.5166e+00  +5.2464
# DONE
