# NS-046 uniform-domination sub-probe — does depletion dominate production on the INTENSE set?
# Rp≥1 ⇒ pressure beats strain self-amplification; Rv≥1 ⇒ dissipation beats production. Watch the @.1% column (most intense).

# HELICAL  N=64  nu=6.25000e-04
# t    Rp@100% Rp@10%  Rp@1%   Rp@.1%  | Rv@100% Rv@10%  Rv@1%   Rv@.1%   (Rp=pressure/selfamp, Rv=dissip/production)
0.00   -0.300  +0.183  +0.457  +0.558 |   0.000   0.012   0.008   0.007
0.50   -0.306  +0.153  +0.314  +0.462 |   0.702   0.012   0.008   0.006
1.00   -0.305  +0.089  +0.133  +0.179 |   0.325   0.012   0.009   0.007
1.50   -0.299  -0.011  -0.030  -0.040 |   0.210   0.015   0.011   0.009
2.00   -0.289  -0.090  -0.091  +0.018 |   0.175   0.021   0.017   0.013
2.50   -0.276  -0.113  -0.017  +0.309 |   0.182   0.033   0.025   0.018
3.00   -0.262  -0.088  +0.220  +0.806 |   0.212   0.046   0.033   0.026
3.50   -0.247  -0.032  +0.488  +1.566 |   0.247   0.058   0.040   0.029
4.00   -0.235  +0.039  +0.743  +1.935 |   0.279   0.071   0.047   0.033
4.50   -0.227  +0.087  +0.847  +2.223 |   0.316   0.083   0.055   0.042
5.00   -0.216  +0.125  +0.896  +2.563 |   0.358   0.094   0.060   0.044
5.50   -0.206  +0.140  +0.958  +2.599 |   0.401   0.099   0.061   0.047
6.00   -0.203  +0.126  +0.855  +1.822 |   0.437   0.101   0.062   0.044

# CONTROL  N=64  nu=6.25000e-04
# t    Rp@100% Rp@10%  Rp@1%   Rp@.1%  | Rv@100% Rv@10%  Rv@1%   Rv@.1%   (Rp=pressure/selfamp, Rv=dissip/production)
0.00   -0.084  +0.024  +0.204  +0.370 |   0.000   0.007   0.003   0.002
0.50   -0.194  -0.033  -0.074  +0.080 |   0.051   0.007   0.003   0.002
1.00   -0.317  -0.098  +0.159  +0.320 |   0.056   0.015   0.008   0.007
1.50   -0.297  +0.049  +0.314  +0.462 |   0.103   0.035   0.019   0.011
2.00   -0.221  +0.137  +0.393  +0.498 |   0.187   0.057   0.031   0.019
2.50   -0.180  +0.173  +0.498  +0.668 |   0.289   0.074   0.038   0.022
3.00   -0.162  +0.177  +0.567  +0.917 |   0.382   0.082   0.041   0.024
3.50   -0.159  +0.135  +0.500  +0.781 |   0.456   0.084   0.041   0.022
4.00   -0.161  +0.084  +0.406  +0.627 |   0.528   0.086   0.042   0.028
4.50   -0.159  +0.054  +0.260  +0.268 |   0.594   0.086   0.042   0.029
5.00   -0.150  +0.029  +0.209  +0.282 |   0.670   0.086   0.043   0.028
5.50   -0.143  +0.015  +0.141  +0.316 |   0.750   0.088   0.043   0.028
6.00   -0.132  +0.030  +0.183  +0.316 |   0.860   0.089   0.043   0.027

# TUBES  N=64  nu=6.25000e-04
# t    Rp@100% Rp@10%  Rp@1%   Rp@.1%  | Rv@100% Rv@10%  Rv@1%   Rv@.1%   (Rp=pressure/selfamp, Rv=dissip/production)
0.00   -0.086  -0.283  +0.563  +8.533 |   0.000   1.150   0.729   0.748
0.50   -0.168  -0.118  +3.090 +15.939 |   0.186   0.064   0.043   0.019
1.00   -0.282  -0.224  +1.268  +2.146 |   0.212   0.116   0.062   0.032
1.50   -0.306  -0.408  +0.754 +10.403 |   0.441   0.141   0.060   0.028
2.00   -0.229  -0.127  +2.486  +8.181 |   0.719   0.131   0.047   0.021
2.50   -0.169  -0.131  +2.472  +7.093 |   0.838   0.123   0.041   0.019
3.00   -0.191  -0.151  +2.304  +3.736 |   0.705   0.117   0.038   0.019
3.50   -0.202  -0.150  +2.738  +6.341 |   0.618   0.118   0.037   0.014
4.00   -0.183  -0.106  +2.732  +5.284 |   0.586   0.119   0.037   0.013
4.50   -0.189  -0.111  +2.273  +2.467 |   0.585   0.114   0.038   0.018
5.00   -0.192  -0.112  +1.398  +1.036 |   0.478   0.106   0.038   0.017
5.50   -0.163  -0.062  +1.072  +1.121 |   0.427   0.099   0.040   0.018
6.00   -0.193  -0.108  +0.459  +0.274 |   0.503   0.110   0.058   0.028
# DONE
