# NS-049 anisotropy-defect probe — does Lockwood's δ_Λ→0 at the most intense resolved events?
# δ_Λ=1−λmax(M)/tr(M), M=Σ_{top-q |ω|}ω⊗ω. δ=0 one-directional, ½ planar/sheet, ⅔ isotropic.
# N=64 Re=1600 T=6.0  Scope: DNS truncation, REGULAR (vacuity cap); NOT the PDE; :proved=0.

# TUBES (Kerr reconnection)  N=64  Re=1600
# t      winf      δ@100%   δ@10%    δ@1%     δ@.1%    | structure @.1%: (λmid/tr, λmax/tr)
0.00     16.474  0.0157   0.0147   0.0083   0.0074   | (0.007, 0.993)
0.50     16.255  0.1062   0.1052   0.0835   0.0824   | (0.063, 0.918)
1.00     17.145  0.2066   0.2039   0.0790   0.0407   | (0.035, 0.959)
1.50     19.372  0.2829   0.2746   0.1059   0.1421   | (0.110, 0.858)
2.00     19.943  0.3151   0.2965   0.1251   0.0580   | (0.041, 0.942)
2.50     19.750  0.3203   0.2946   0.0894   0.0799   | (0.054, 0.920)
3.00     17.930  0.3565   0.3300   0.1391   0.0891   | (0.061, 0.911)
3.50     19.546  0.3817   0.3548   0.1549   0.1246   | (0.066, 0.875)
4.00     20.138  0.4088   0.3801   0.2030   0.1953   | (0.128, 0.805)
4.50     20.554  0.4358   0.4052   0.2471   0.1814   | (0.113, 0.819)
5.00     29.664  0.4602   0.4302   0.2910   0.2602   | (0.173, 0.740)
5.50     38.019  0.5063   0.4799   0.3768   0.3466   | (0.208, 0.653)
6.00     31.053  0.5397   0.5175   0.4613   0.5875   | (0.345, 0.412)
# TUBES (Kerr reconnection) PEAK t=5.50 winf=38.02: δ@{100,10,1,.1%}=(0.506,0.480,0.377,0.347)  min-over-q=0.347  → MULTI-directional even at the cores (δ bounded below)

# TG (H=0)  N=64  Re=1600
# t      winf      δ@100%   δ@10%    δ@1%     δ@.1%    | structure @.1%: (λmid/tr, λmax/tr)
0.00      2.000  0.3333   0.0133   0.0005   0.0000   | (0.000, 1.000)
0.50      1.879  0.3600   0.0194   0.0008   0.0000   | (0.000, 1.000)
1.00      1.576  0.4288   0.0421   0.0022   0.0001   | (0.000, 1.000)
1.50      1.400  0.5155   0.5902   0.5111   0.4960   | (0.493, 0.504)
2.00      1.858  0.5989   0.5445   0.5044   0.4955   | (0.493, 0.504)
2.50      2.543  0.6660   0.5247   0.5026   0.4931   | (0.492, 0.507)
3.00      3.823  0.6396   0.5192   0.5002   0.5001   | (0.499, 0.500)
3.50      5.783  0.6200   0.5204   0.5039   0.5023   | (0.496, 0.498)
4.00     11.808  0.6092   0.5335   0.5256   0.5146   | (0.483, 0.485)
4.50     18.761  0.6115   0.5640   0.5434   0.5118   | (0.480, 0.488)
5.00     18.098  0.6289   0.6027   0.5953   0.5107   | (0.485, 0.489)
5.50     16.110  0.6343   0.6088   0.5865   0.4224   | (0.221, 0.578)
6.00     18.913  0.6520   0.6352   0.6298   0.3194   | (0.160, 0.681)
# TG (H=0) PEAK t=6.00 winf=18.91: δ@{100,10,1,.1%}=(0.652,0.635,0.630,0.319)  min-over-q=0.319  → MULTI-directional even at the cores (δ bounded below)

# HELICAL (H≠0)  N=64  Re=1600
# t      winf      δ@100%   δ@10%    δ@1%     δ@.1%    | structure @.1%: (λmid/tr, λmax/tr)
0.00      9.033  0.6194   0.5547   0.3304   0.1900   | (0.147, 0.810)
0.50     21.644  0.6426   0.6002   0.5149   0.3950   | (0.304, 0.605)
1.00     43.863  0.6509   0.6416   0.6115   0.5197   | (0.314, 0.480)
1.50     59.222  0.6493   0.6319   0.6024   0.5413   | (0.316, 0.459)
2.00     50.898  0.6587   0.6504   0.6307   0.5980   | (0.328, 0.402)
2.50     52.894  0.6645   0.6619   0.6516   0.6268   | (0.322, 0.373)
3.00     48.200  0.6642   0.6610   0.6553   0.6375   | (0.343, 0.362)
3.50     45.237  0.6630   0.6590   0.6497   0.6247   | (0.347, 0.375)
4.00     39.561  0.6639   0.6589   0.6523   0.6325   | (0.332, 0.368)
4.50     33.953  0.6624   0.6608   0.6521   0.6335   | (0.343, 0.367)
5.00     34.708  0.6633   0.6601   0.6470   0.6303   | (0.355, 0.370)
5.50     28.587  0.6655   0.6645   0.6570   0.6307   | (0.338, 0.369)
6.00     26.771  0.6653   0.6619   0.6509   0.6533   | (0.336, 0.347)
# HELICAL (H≠0) PEAK t=1.50 winf=59.22: δ@{100,10,1,.1%}=(0.649,0.632,0.602,0.541)  min-over-q=0.541  → MULTI-directional even at the cores (δ bounded below)

# READ: the question is whether δ_Λ falls toward 0 as the threshold tightens (top-q, q→0) and at the
# intensity peak — the regime Lockwood's machinery requires. If δ stays bounded below at the cores,
# the multi-directional case his program does NOT cover is the physically-realized one (cf. NS-038's
# intermediate-eigenvector alignment). Within-truncation witness for the NS-049 question; :proved=0.
# DONE
